"id"	"entry"	"lexnum"	"status"	"%"
"26162"	"26164"	"I.1"	"2"	"100"
"26163"	"26165"	"1"	"2"	"100"
"26164"	"26166"	"II.2"	"2"	"100"
"26166"	"26168"	"I"	"2"	"100"
"26167"	"26169"	"I"	"2"	"100"
"26168"	"26170"	""	"2"	"100"
"26169"	"26171"	"2"	"2"	"100"
"26170"	"26172"	"1"	"2"	"100"
"26171"	"26173"	"2"	"2"	"100"
"26172"	"26174"	""	"2"	"100"
"26173"	"26175"	"I.1"	"2"	"100"
"26174"	"26176"	"I"	"2"	"100"
"26175"	"26177"	"II.2"	"2"	"100"
"26176"	"26178"	"I.1"	"2"	"100"
"26177"	"26179"	"1"	"2"	"100"
"26178"	"26180"	"I.1"	"2"	"100"
"26179"	"26181"	"I"	"2"	"100"
"26180"	"26182"	"I.1"	"2"	"100"
"26181"	"26183"	"I"	"2"	"100"
"26182"	"26184"	"1"	"2"	"100"
"26183"	"26185"	"I"	"2"	"100"
"26184"	"26186"	"a"	"2"	"100"
"26185"	"26187"	"I"	"2"	"100"
"26186"	"26188"	"I.1"	"2"	"100"
"26187"	"26189"	"I"	"2"	"100"
"26188"	"26190"	"I.1"	"2"	"100"
"26189"	"26191"	""	"2"	"100"
"26190"	"26192"	"II"	"2"	"100"
"26192"	"26194"	"I"	"2"	"100"
"26193"	"26195"	"I"	"2"	"100"
"26194"	"26196"	"1"	"2"	"100"
"26195"	"26197"	"I"	"2"	"100"
"26196"	"26198"	"I.1"	"2"	"100"
"26197"	"26199"	"III"	"2"	"100"
"26198"	"26200"	"1"	"2"	"100"
"26200"	"26202"	""	"2"	"100"
"26201"	"26203"	""	"2"	"100"
"26202"	"26204"	"1"	"2"	"100"
"26203"	"26205"	"I.1"	"2"	"100"
"26204"	"26206"	"I"	"2"	"100"
"26205"	"26207"	"I"	"2"	"100"
"26206"	"26208"	""	"2"	"100"
"26207"	"26209"	"I"	"2"	"100"
"26208"	"26210"	"1"	"2"	"100"
"26209"	"26211"	"I"	"2"	"100"
"26210"	"26212"	"I"	"2"	"100"
"26211"	"26213"	"2"	"2"	"100"
"26212"	"26214"	"II"	"2"	"100"
"26213"	"26215"	"I"	"2"	"100"
"26214"	"26216"	"I"	"2"	"100"
"26215"	"26217"	""	"2"	"100"
"26216"	"26218"	""	"2"	"100"
"26217"	"26219"	"I"	"2"	"100"
"26218"	"26220"	"I.1"	"2"	"100"
"26219"	"26221"	"I"	"2"	"100"
"26220"	"26222"	""	"2"	"100"
"26221"	"26223"	"I"	"2"	"100"
"26222"	"26224"	""	"2"	"100"
"26223"	"26225"	""	"2"	"100"
"26224"	"26226"	"I.2"	"2"	"100"
"26225"	"26227"	""	"2"	"100"
"26226"	"26228"	"I"	"2"	"100"
"26227"	"26229"	""	"2"	"100"
"26228"	"26230"	"I.a"	"2"	"100"
"26229"	"26231"	"1"	"2"	"100"
"26230"	"26232"	"II"	"2"	"100"
"26231"	"26233"	""	"2"	"100"
"26232"	"26234"	""	"2"	"100"
"26233"	"26235"	"I"	"2"	"100"
"26234"	"26236"	"I"	"2"	"100"
"26235"	"26237"	"I.1"	"2"	"100"
"26236"	"26238"	"1"	"2"	"100"
"26237"	"26239"	""	"2"	"100"
"26238"	"26240"	""	"2"	"100"
"26239"	"26241"	""	"2"	"100"
"26240"	"26242"	"I.1"	"2"	"100"
"26241"	"26243"	""	"2"	"100"
"26242"	"26244"	""	"2"	"100"
"26243"	"26245"	"I.1"	"2"	"100"
"26244"	"26246"	"II"	"2"	"100"
"26245"	"26247"	"I.1a"	"2"	"100"
"26246"	"26248"	"1"	"2"	"100"
"26247"	"26249"	""	"2"	"100"
"26248"	"26250"	"1"	"2"	"100"
"26249"	"26251"	""	"2"	"100"
"26250"	"26252"	""	"2"	"100"
"26251"	"26253"	"I"	"2"	"100"
"26252"	"26254"	"I"	"2"	"100"
"26253"	"26255"	"I"	"2"	"100"
"26254"	"26256"	"II"	"2"	"100"
"26255"	"26257"	"I"	"2"	"100"
"26256"	"26258"	"I"	"2"	"100"
"26257"	"26259"	""	"2"	"100"
"26258"	"26260"	"I.2"	"1"	"100"
"26259"	"26261"	""	"2"	"100"
"26260"	"26262"	"I"	"2"	"100"
"26261"	"26263"	"I"	"2"	"100"
"26262"	"26264"	""	"2"	"100"
"26263"	"26265"	"I"	"2"	"100"
"26264"	"26266"	"I"	"2"	"100"
"26267"	"26269"	"I"	"2"	"100"
"26268"	"26270"	"I.1a"	"2"	"100"
"26269"	"26271"	"I"	"2"	"100"
"26270"	"26272"	""	"2"	"100"
"26272"	"26274"	"I"	"2"	"100"
"26273"	"26275"	"I.1"	"2"	"100"
"26274"	"26276"	""	"2"	"100"
"26275"	"26277"	"I"	"2"	"100"
"26276"	"26278"	""	"2"	"100"
"26277"	"26279"	"I"	"2"	"100"
"26278"	"26280"	""	"2"	"100"
"26279"	"26281"	""	"2"	"100"
"26280"	"26282"	""	"2"	"100"
"26281"	"26283"	""	"2"	"100"
"26282"	"26284"	"2"	"2"	"100"
"26283"	"26285"	""	"2"	"100"
"26284"	"26286"	""	"2"	"100"
"26285"	"26287"	"I"	"2"	"100"
"26286"	"26288"	""	"2"	"100"
"26287"	"26289"	"I"	"2"	"100"
"26288"	"26290"	"I"	"2"	"100"
"26289"	"26291"	"II.1"	"2"	"100"
"26290"	"26292"	"II"	"2"	"100"
"26291"	"26293"	"I.1"	"1"	"100"
"26292"	"26294"	"I.a"	"2"	"100"
"26293"	"26295"	"I.1"	"2"	"100"
"26294"	"26296"	"I.2"	"2"	"100"
"26295"	"26297"	"I"	"2"	"100"
"26296"	"26298"	"a"	"2"	"100"
"26297"	"26299"	"a"	"2"	"100"
"26298"	"26300"	"2"	"2"	"100"
"26299"	"26301"	"I"	"2"	"100"
"26300"	"26302"	"I"	"2"	"100"
"26301"	"26303"	"II"	"2"	"100"
"26302"	"26304"	"I"	"2"	"100"
"26303"	"26305"	"I"	"2"	"100"
"26304"	"26306"	"I"	"2"	"100"
"26305"	"26307"	"I.1a"	"2"	"100"
"26306"	"26308"	""	"2"	"100"
"26307"	"26309"	"I.1b"	"2"	"100"
"26308"	"26310"	"I"	"2"	"100"
"26309"	"26311"	"1a"	"2"	"100"
"26310"	"26312"	"1"	"2"	"100"
"26311"	"26313"	"I"	"2"	"100"
"26312"	"26314"	""	"2"	"100"
"26313"	"26315"	""	"2"	"100"
"26314"	"26316"	"I"	"2"	"100"
"26315"	"26317"	""	"2"	"100"
"26316"	"26318"	"II.1"	"2"	"100"
"26317"	"26319"	""	"2"	"100"
"26318"	"26320"	""	"2"	"100"
"26319"	"26321"	"II"	"2"	"100"
"26320"	"26322"	""	"2"	"100"
"26321"	"26323"	"I"	"2"	"100"
"26323"	"26325"	"I.a"	"2"	"100"
"26324"	"26326"	"I.1"	"2"	"100"
"26325"	"26327"	"I.2"	"2"	"100"
"26326"	"26328"	"III"	"2"	"100"
"26327"	"26329"	"1"	"2"	"100"
"26328"	"26330"	"I"	"2"	"100"
"26329"	"26331"	""	"2"	"100"
"26330"	"26332"	"I.2"	"2"	"100"
"26331"	"26333"	""	"2"	"100"
"26332"	"26334"	"I"	"2"	"100"
"26333"	"26335"	"I"	"2"	"100"
"26334"	"26336"	"I"	"2"	"100"
"26335"	"26337"	"I.2"	"2"	"100"
"26336"	"26338"	"I.1"	"2"	"100"
"26337"	"26339"	"II"	"2"	"100"
"26338"	"26340"	"I"	"2"	"100"
"26339"	"26341"	""	"2"	"100"
"26340"	"26342"	"I"	"2"	"100"
"26341"	"26343"	"I.1"	"2"	"100"
"26342"	"26344"	""	"2"	"100"
"26343"	"26345"	""	"2"	"100"
"26345"	"26347"	""	"2"	"100"
"26346"	"26348"	""	"2"	"100"
"26347"	"26349"	""	"2"	"100"
"26348"	"26350"	"II"	"2"	"100"
"26349"	"26351"	""	"2"	"100"
"26350"	"26352"	""	"2"	"100"
"26351"	"26353"	""	"2"	"100"
"26352"	"26354"	"1"	"1"	"100"
"26353"	"26355"	"I.1"	"2"	"100"
"26354"	"26356"	"I.a"	"2"	"100"
"26355"	"26357"	"I"	"2"	"100"
"26356"	"26358"	"I"	"2"	"100"
"26357"	"26359"	"I.1"	"2"	"100"
"26358"	"26360"	"I"	"2"	"100"
"26359"	"26361"	"I.3"	"2"	"100"
"26360"	"26362"	""	"2"	"100"
"26361"	"26363"	""	"2"	"100"
"26362"	"26364"	"1"	"2"	"100"
"26363"	"26365"	"II"	"2"	"100"
"26364"	"26366"	"I.1"	"1"	"100"
"26365"	"26367"	"II.2b"	"2"	"100"
"26366"	"26368"	""	"2"	"100"
"26367"	"26369"	"I.a"	"2"	"100"
"26368"	"26370"	"I"	"2"	"100"
"26369"	"26371"	"I.a"	"2"	"100"
