"id"	"addtoname"	"name"	"subscript"	"superscript"	"status"	"%"
"26164"	""	"à"	""	""	"1"	"100"
"26165"	""	"à propos"	""	""	"2"	"100"
"26166"	""	"abandonner"	""	""	"2"	"100"
"26167"	""	"abeille"	""	""	"1"	"100"
"26168"	""	"abîme"	""	""	"2"	"100"
"26169"	""	"abîmer"	""	""	"2"	"100"
"26170"	""	"abonner"	""	""	"2"	"100"
"26171"	""	"abri"	""	""	"2"	"100"
"26172"	""	"abriter"	""	""	"2"	"100"
"26173"	""	"absence"	""	""	"2"	"100"
"26174"	""	"absolument"	""	""	"2"	"100"
"26175"	""	"absorber"	""	""	"2"	"100"
"26176"	""	"abuser"	""	""	"2"	"100"
"26177"	""	"accélérer"	""	""	"2"	"100"
"26178"	""	"accent"	""	""	"2"	"100"
"26179"	""	"accepter"	""	""	"2"	"100"
"26180"	""	"accès"	""	""	"2"	"100"
"26181"	""	"accident"	""	""	"2"	"100"
"26182"	""	"accompagner"	""	""	"2"	"100"
"26183"	""	"accomplir"	""	""	"2"	"100"
"26184"	""	"accord"	""	""	"2"	"100"
"26185"	""	"accorder"	""	""	"2"	"100"
"26186"	""	"accoucher"	""	""	"2"	"100"
"26187"	""	"accrocher"	""	""	"2"	"100"
"26188"	""	"accueillir"	""	""	"2"	"100"
"26189"	""	"accumuler"	""	""	"2"	"100"
"26190"	""	"accuser"	""	""	"2"	"100"
"26191"	""	"acheter"	""	""	"2"	"100"
"26192"	""	"achever"	""	""	"2"	"100"
"26193"	""	"acide"	"Adj"	""	"2"	"100"
"26194"	""	"acquérir"	""	""	"2"	"100"
"26195"	""	"acte"	""	""	"2"	"100"
"26196"	""	"acteur"	""	""	"2"	"100"
"26197"	""	"actif"	"Adj"	""	"2"	"100"
"26198"	""	"action"	""	""	"2"	"100"
"26199"	""	"activité"	""	""	"2"	"100"
"26200"	""	"actualité"	""	""	"2"	"100"
"26201"	""	"actuel"	""	""	"2"	"100"
"26202"	""	"adapter"	""	""	"2"	"100"
"26203"	""	"additionner"	""	""	"2"	"100"
"26204"	""	"adieu"	""	""	"2"	"100"
"26205"	""	"admettre"	""	""	"2"	"100"
"26206"	""	"administrer"	""	"2"	"2"	"100"
"26207"	""	"admirer"	""	""	"2"	"100"
"26208"	""	"adolescent"	"N"	""	"2"	"100"
"26209"	""	"adopter"	""	""	"2"	"100"
"26210"	""	"adorable"	""	""	"2"	"100"
"26211"	""	"adorer"	""	""	"2"	"100"
"26212"	""	"adresse"	""	"1"	"2"	"100"
"26213"	""	"adresser"	""	""	"2"	"100"
"26214"	""	"adroit"	""	""	"2"	"100"
"26215"	""	"adulte"	"Adj"	""	"2"	"100"
"26216"	""	"adversaire"	"N, masc"	""	"2"	"100"
"26217"	""	"adversité"	""	""	"2"	"100"
"26218"	""	"aéroport"	""	""	"2"	"100"
"26219"	""	"affaiblir"	""	""	"2"	"100"
