"source"	"target"	"type"	"subtype"
"44006"	"44007"	"1"	"4"
"32937"	"28866"	"5"	""
"26291"	"30859"	"1"	"7"
"26291"	"30857"	"5"	""
"26291"	"30858"	"5"	""
"26431"	"40943"	"2"	""
"29775"	"33227"	"1"	"2"
"31559"	"38325"	"5"	""
"31559"	"38512"	"1"	"7"
"40578"	"31563"	"1"	"7"
"28058"	"39110"	"1"	"7"
"39110"	"39111"	"5"	""
"28998"	"43005"	"5"	""
"45723"	"38321"	"2"	""
"38321"	"38324"	"1"	"4"
"38321"	"38347"	"1"	"4"
"28998"	"45723"	"2"	""
"28998"	"38328"	"1"	"4"
"28998"	"38741"	"1"	"4"
"28998"	"38330"	"1"	"4"
"27378"	"47626"	"5"	""
"37004"	"47155"	"2"	""
"47475"	"30571"	"4"	""
"30571"	"47398"	"1"	"1"
"29201"	"43845"	"1"	"6"
"28658"	"47496"	"2"	""
"47496"	"47497"	"5"	""
"28658"	"47630"	"1"	"4"
"35680"	"47490"	"5"	""
"47490"	"47489"	"2"	""
"35680"	"47631"	"1"	"4"
"27616"	"47483"	"5"	""
"47483"	"47481"	"2"	""
"27616"	"47484"	"1"	"4"
"27616"	"47482"	"1"	"6"
"36679"	"44521"	"1"	"4"
"47634"	"47635"	"1"	"4"
"37232"	"29412"	"5"	""
"29412"	"47636"	"1"	"4"
"36204"	"47638"	"5"	""
"28500"	"51242"	"1"	"4"
"51199"	"51200"	"1"	"4"
"47643"	"47644"	"4"	""
"47645"	"47646"	"5"	""
"47647"	"27897"	"3"	""
"41569"	"41573"	"1"	"4"
"47648"	"47645"	"5"	""
"47645"	"47647"	"1"	"4"
"47474"	"47476"	"4"	""
"26768"	"30261"	"2"	""
"26768"	"39477"	"1"	"2"
"28748"	"47231"	"2"	"8"
"44600"	"44601"	"1"	"4"
"28304"	"46882"	"2"	"5"
"46882"	"46883"	"4"	""
"28304"	"46884"	"1"	"4"
"31609"	"38480"	"1"	"4"
"26210"	"44141"	"2"	""
"45529"	"46898"	"4"	""
"46898"	"46892"	"2"	""
"46892"	"45528"	"2"	"5"
"26473"	"43104"	"2"	""
"26473"	"43105"	"1"	"2"
"26473"	"43419"	"1"	"2"
"29451"	"47652"	"4"	""
"29451"	"47653"	"1"	"4"
"41212"	"26258"	"4"	""
"44197"	"45199"	"1"	"4"
"33626"	"45245"	"1"	"4"
"26589"	"45740"	"2"	""
"45740"	"46778"	"2"	""
"46778"	"47017"	"2"	""
"46778"	"45766"	"4"	""
"26589"	"45776"	"1"	"6"
"45766"	"45777"	"2"	""
"29593"	"39253"	"2"	""
"39253"	"40295"	"5"	""
"28429"	"45809"	"2"	""
"28642"	"47348"	"5"	""
"28642"	"46310"	"5"	""
"29399"	"48634"	"2"	""
"29451"	"47651"	"5"	""
"47390"	"47391"	"1"	"2"
"47391"	"47392"	"2"	""
"35682"	"44812"	"1"	"4"
"44812"	"44810"	"5"	""
"35682"	"44811"	"2"	""
"44811"	"47516"	"5"	""
"26612"	"47689"	"1"	"4"
"39528"	"46962"	"5"	""
"39528"	"29108"	"1"	""
"29108"	"42883"	"2"	""
"44817"	"44969"	"5"	""
"41911"	"41574"	"5"	""
"44889"	"44905"	"1"	"4"
"45342"	"29236"	"3"	""
"38149"	"47691"	"3"	""
"42373"	"42374"	"5"	""
"42374"	"42950"	"2"	""
"41311"	"42340"	"1"	"4"
"41629"	"35138"	"5"	""
"41311"	"42339"	"5"	""
"42373"	"42372"	"5"	""
"32557"	"47700"	"2"	""
"32297"	"42945"	"2"	""
"35906"	"42288"	"5"	""
"27584"	"39272"	"2"	""
"29608"	"39570"	"2"	""
"29608"	"39627"	"2"	""
"30500"	"30502"	"1"	""
"29557"	"31097"	"2"	""
"31097"	"39161"	"2"	""
"31097"	"31098"	"2"	""
"47713"	"47714"	"1"	""
"27570"	"30987"	"2"	""
"27570"	"29992"	"1"	"2"
"29992"	"46326"	"2"	""
"27570"	"29993"	"1"	"2"
"31677"	"39591"	"2"	""
"28327"	"38483"	"5"	""
"26471"	"39568"	"2"	""
"26767"	"40284"	"2"	""
"26767"	"30392"	"1"	""
"30392"	"30408"	"2"	""
"26767"	"30421"	"1"	"2"
"26767"	"30427"	"1"	"2"
"34311"	"44683"	"1"	"4"
"29873"	"39563"	"2"	""
"33391"	"39616"	"2"	""
"29725"	"31081"	"2"	""
"46284"	"46272"	"5"	""
"29568"	"30982"	"2"	""
"29568"	"30983"	"1"	"2"
"29843"	"30904"	"2"	""
"29843"	"45686"	"1"	"2"
"26454"	"30246"	"1"	""
"29296"	"39564"	"2"	""
"29451"	"47720"	"1"	""
"38912"	"28112"	"5"	""
"26710"	"43588"	"4"	""
"26710"	"43583"	"5"	""
"26710"	"43116"	"5"	""
"26710"	"43766"	"1"	""
"28112"	"38916"	"4"	""
"38912"	"33441"	"2"	""
"38912"	"38918"	"1"	"4"
"43340"	"44966"	"2"	""
"43340"	"44992"	"1"	""
"43340"	"45003"	"1"	""
"43340"	"45010"	"1"	""
"43340"	"45015"	"1"	""
"43340"	"45014"	"1"	""
"43340"	"45016"	"1"	""
"43340"	"45151"	"1"	""
"43340"	"45146"	"1"	""
"43340"	"45152"	"1"	""
"43340"	"45159"	"1"	""
"32796"	"47722"	"5"	""
"43340"	"45157"	"1"	""
"45157"	"45251"	"1"	""
"43340"	"45148"	"1"	""
"45148"	"45125"	"2"	""
"43340"	"45135"	"1"	""
"43340"	"45126"	"1"	""
"43340"	"45129"	"1"	""
"43340"	"45123"	"1"	""
"43340"	"45132"	"1"	""
"43340"	"45139"	"1"	""
"46433"	"47725"	"2"	""
"31739"	"43849"	"5"	""
"31739"	"44157"	"2"	""
"31739"	"44158"	"2"	""
"31739"	"31741"	"1"	"4"
"31739"	"44102"	"1"	"4"
"27178"	"44752"	"1"	""
"34132"	"47147"	"1"	"4"
"29345"	"38361"	"2"	""
"38361"	"38369"	"1"	"4"
"38361"	"38365"	"1"	"4"
"28984"	"44592"	"1"	""
"26364"	"38670"	"5"	""
"26364"	"38664"	"1"	"4"
"26364"	"38913"	"1"	""
"26364"	"39215"	"5"	""
"26364"	"39216"	"5"	""
"26670"	"46172"	"5"	""
"39698"	"39701"	"2"	""
"29937"	"43768"	"4"	""
"29937"	"46738"	"2"	"5"
"29937"	"46909"	"2"	"5"
"29937"	"43773"	"1"	""
"29937"	"43774"	"1"	""
"44158"	"44159"	"5"	""
"31739"	"44103"	"1"	"4"
"31747"	"47789"	"1"	"4"
"47776"	"31747"	"1"	"4"
"31749"	"47788"	"1"	"4"
"29937"	"28456"	"2"	""
"29937"	"43772"	"2"	""
"47746"	"37049"	"2"	"3"
"47746"	"30047"	"2"	""
"29937"	"43775"	"1"	"4"
"28563"	"44243"	"2"	""
"41212"	"40994"	"5"	""
"40994"	"40995"	"2"	""
"40995"	"41850"	"2"	""
"40995"	"40996"	"2"	""
"40995"	"40998"	"1"	"4"
"42372"	"42373"	"5"	""
"27059"	"46277"	"2"	""
"27059"	"32745"	"2"	""
"39012"	"39022"	"2"	""
"38790"	"39021"	"2"	""
"38789"	"39020"	"2"	""
"39013"	"39023"	"2"	""
"26529"	"39087"	"1"	""
"42481"	"42479"	"2"	""
"27015"	"34720"	"1"	""
"29848"	"38385"	"2"	""
"29848"	"38425"	"1"	""
"38425"	"38386"	"5"	""
"39087"	"47762"	"2"	""
"26529"	"39103"	"1"	""
"30554"	"39163"	"2"	""
"30554"	"30555"	"1"	"4"
"30554"	"47098"	"1"	"4"
"30554"	"38310"	"1"	"2"
"29855"	"47768"	"2"	""
"27505"	"30717"	"1"	"4"
"35109"	"47745"	"2"	""
"47745"	"47736"	"4"	""
"47736"	"47759"	"4"	""
"35109"	"47753"	"1"	""
"47777"	"31749"	"1"	"4"
"35109"	"47780"	"2"	"8"
"42349"	"26565"	"1"	"4"
"26623"	"40095"	"1"	"4"
"28117"	"47678"	"1"	"4"
