"id"	"usagenote"	"POS"	"phraseolstruc"	"embededlex"	"othercharac"
"26162"	""	"64"	""	""	""
"26163"	""	"22"	"Prép NC (Prép_$2)"	"(33892)"	"(166)"
"26164"	""	"23"	""	""	""
"26166"	""	"20"	""	""	"(28)"
"26167"	""	"23"	""	""	""
"26168"	""	"23"	""	""	""
"26169"	""	"20"	""	""	"(28)"
"26170"	""	"23"	""	""	""
"26171"	""	"20"	""	""	"(26)"
"26172"	""	"63"	""	""	""
"26173"	""	"23"	""	""	""
"26174"	""	"23"	""	""	""
"26175"	""	"23"	""	""	""
"26176"	""	"20"	""	""	"(28)"
"26177"	""	"23"	""	""	""
"26178"	""	"20"	""	""	"(28)"
"26179"	""	"20"	""	""	"(28)"
"26180"	""	"23"	""	""	""
"26181"	""	"23"	""	""	"(125)"
"26182"	""	"20"	""	""	"(28)"
"26183"	""	"23"	""	""	""
"26184"	""	"23"	""	""	""
"26185"	""	"23"	""	""	""
"26186"	""	"23"	""	""	""
"26187"	""	"23"	""	""	""
"26188"	""	"23"	""	""	"(215)"
"26189"	""	"23"	""	""	""
"26190"	""	"23"	""	""	""
"26192"	""	"23"	""	""	""
"26193"	""	"20"	""	""	"(28)"
"26194"	""	"20"	""	""	"(28)"
"26195"	""	"19"	""	""	""
"26196"	""	"20"	""	""	"(26)"
"26197"	""	"20"	""	""	"(26)"
"26198"	""	"20"	""	""	"(26)"
"26200"	""	"23"	""	""	""
"26201"	""	"23"	""	""	""
"26202"	""	"82"	""	""	""
"26203"	""	"23"	""	""	""
"26204"	""	"23"	""	""	""
"26205"	""	"23"	""	""	"(37)"
"26206"	""	"20"	""	""	"(28)"
"26207"	""	"23"	""	""	""
"26208"	""	"19"	""	""	""
"26209"	""	"23"	""	""	"(37)"
"26210"	""	"20"	""	""	"(26)"
"26211"	""	"23"	""	""	""
"26212"	""	"19"	""	""	""
"26213"	""	"19"	""	""	""
"26214"	""	"20"	""	""	"(28)"
"26215"	""	"20"	""	""	"(26)"
"26216"	""	"20"	""	""	"(28)"
"26217"	""	"23"	""	""	""
"26218"	""	"20"	""	""	"(26)"
"26219"	""	"20"	""	""	"(26)"
"26220"	""	"20"	""	""	"(26)"
"26221"	""	"23"	""	""	""
"26222"	""	"23"	""	""	""
"26223"	""	"23"	""	""	""
"26224"	""	"19"	""	""	""
"26225"	""	"20"	""	""	"(28)"
"26226"	""	"23"	""	""	""
"26227"	""	"23"	""	""	""
"26228"	""	"20"	""	""	"(28)"
"26229"	""	"19"	""	""	""
"26230"	"(6)"	"20"	""	""	"(28)"
"26231"	""	"23"	""	""	""
"26232"	""	"19"	""	""	""
"26233"	""	"23"	""	""	""
"26234"	""	"23"	""	""	""
"26235"	""	"20"	""	""	"(28)"
"26236"	""	"19"	""	""	""
"26237"	""	"23"	""	""	""
"26238"	""	"20"	""	""	"(26)"
"26239"	""	"82"	""	""	""
"26240"	""	"20"	""	""	"(26)"
"26241"	""	"23"	""	""	""
"26242"	""	"19"	""	""	""
"26243"	""	"20"	""	""	"(26)"
"26244"	""	"20"	""	""	"(28)"
"26245"	""	"20"	""	""	"(26,73)"
"26246"	""	"63"	""	""	""
"26247"	""	"19"	""	""	""
"26248"	""	"23"	""	""	"(37)"
"26249"	""	"19"	""	""	""
"26250"	""	"63"	""	""	""
"26251"	""	"20"	""	""	"(28)"
"26252"	""	"20"	""	""	"(26)"
"26253"	""	"20"	""	""	"(26)"
"26254"	""	"23"	""	""	""
"26255"	""	"23"	""	""	""
"26256"	""	"20"	""	""	"(26)"
"26257"	""	"20"	""	""	"(28)"
"26258"	"(6)"	"20"	""	""	"(28)"
"26259"	""	"20"	""	""	"(28)"
"26260"	""	"20"	""	""	"(26)"
"26261"	""	"23"	""	""	""
"26262"	""	"20"	""	""	"(26)"
"26263"	""	"20"	""	""	"(28)"
"26264"	""	"20"	""	""	"(26)"
"26267"	""	"20"	""	""	"(28)"
"26268"	""	"23"	""	""	""
"26269"	""	"20"	""	""	"(26)"
"26270"	""	"82"	""	""	""
"26272"	""	"23"	""	""	""
"26273"	""	"20"	""	""	"(26)"
"26274"	""	"20"	""	""	"(26)"
"26275"	""	"63"	""	""	""
"26276"	""	"20"	""	""	"(28)"
"26277"	""	"20"	""	""	"(26)"
"26278"	""	"20"	""	""	"(26)"
"26279"	""	"20"	""	""	"(26)"
"26280"	""	"20"	""	""	"(28)"
"26281"	""	"20"	""	""	"(26)"
"26282"	""	"19"	""	""	""
"26283"	""	"20"	""	""	"(26)"
"26284"	""	"20"	""	""	"(26)"
"26285"	""	"20"	""	""	"(26)"
"26286"	""	"23"	""	""	""
"26287"	""	"23"	""	""	""
"26288"	""	"19"	""	""	""
"26289"	""	"19"	""	""	""
"26290"	""	"20"	""	""	"(26)"
"26291"	""	"20"	""	""	"(28,143)"
"26292"	""	"20"	""	""	"(28)"
"26293"	""	"19"	""	""	""
"26294"	""	"20"	""	""	"(26)"
"26295"	""	"23"	""	""	""
"26296"	""	"20"	""	""	"(28)"
"26297"	""	"20"	""	""	"(26)"
"26298"	""	"23"	""	""	""
"26299"	""	"20"	""	""	"(28)"
"26300"	""	"20"	""	""	"(26,129)"
"26301"	""	"19"	""	""	""
"26302"	""	"20"	""	""	"(28)"
"26303"	""	"20"	""	""	"(28)"
"26304"	""	"20"	""	""	"(28)"
"26305"	""	"20"	""	""	"(28)"
"26306"	""	"20"	""	""	"(26)"
"26307"	""	"20"	""	""	"(28,129,130)"
"26308"	""	"23"	""	""	""
"26309"	""	"20"	""	""	"(26)"
"26310"	""	"20"	""	""	"(28)"
"26311"	""	"23"	""	""	""
"26312"	""	"23"	""	""	""
"26313"	""	"20"	""	""	"(26)"
"26314"	""	"19"	""	""	""
"26315"	""	"19"	""	""	""
"26316"	""	"20"	""	""	"(26)"
"26317"	""	"20"	""	""	"(26)"
"26318"	""	"20"	""	""	"(28)"
