"sense"	"label"	"%"
"26162"	"152"	"60"
"26164"	"734"	"60"
"26166"	"699"	"100"
"26167"	"583"	"60"
"26168"	"37"	"90"
"26169"	"193"	"90"
"26170"	"718"	"60"
"26171"	"734"	"60"
"26172"	"753"	"100"
"26173"	"587"	"60"
"26174"	"331"	"90"
"26175"	"161"	"60"
"26176"	"644"	"60"
"26177"	"180"	"100"
"26178"	"303"	"60"
"26179"	"737"	"90"
"26180"	"44"	"60"
"26181"	"37"	"90"
"26182"	"718"	"60"
"26183"	"37"	"100"
"26184"	"303"	"60"
"26185"	"37"	"90"
"26186"	"37"	"60"
"26187"	"37"	"60"
"26188"	"177"	"100"
"26189"	"37"	"100"
"26190"	"167"	"60"
"26192"	"37"	"90"
"26193"	"303"	"60"
"26194"	"413"	"100"
"26195"	"180"	"60"
"26196"	"303"	"100"
"26197"	"303"	"90"
"26198"	"718"	"60"
"26200"	"61"	"90"
"26201"	"37"	"90"
"26202"	"703"	"80"
"26203"	"60"	"60"
"26204"	"37"	"90"
"26205"	"626"	"100"
"26206"	"383"	"60"
"26207"	"51"	"60"
"26208"	"152"	"60"
"26209"	"64"	"60"
"26210"	"283"	"100"
"26211"	"27"	"60"
"26212"	"152"	"60"
"26213"	"152"	"60"
"26214"	"402"	"100"
"26215"	"151"	"90"
"26216"	"254"	"100"
"26217"	"580"	"90"
"26218"	"734"	"60"
"26219"	"625"	"100"
"26220"	"122"	"90"
"26221"	"37"	"60"
"26222"	"178"	"100"
"26223"	"765"	"60"
"26224"	"152"	"90"
"26225"	"37"	"60"
"26226"	"187"	"60"
"26227"	"165"	"100"
"26228"	"718"	"60"
"26229"	"152"	"90"
"26230"	"283"	"60"
"26231"	"580"	"60"
"26232"	"152"	"60"
"26233"	"303"	"60"
"26234"	"37"	"60"
"26235"	"78"	"100"
"26236"	"152"	"60"
"26237"	"759"	"90"
"26238"	"238"	"60"
"26239"	"706"	"100"
"26240"	"181"	"60"
"26241"	"37"	"100"
"26242"	"647"	"60"
"26243"	"12"	"90"
"26244"	"566"	"100"
"26245"	"698"	"100"
"26246"	"747"	"100"
"26247"	"152"	"100"
"26248"	"626"	"100"
"26249"	"152"	"60"
"26251"	"5"	"60"
"26252"	"660"	"90"
"26253"	"151"	"60"
"26254"	"27"	"60"
"26255"	"61"	"60"
"26256"	"644"	"100"
"26257"	"113"	"60"
"26258"	"654"	"100"
"26259"	"406"	"100"
"26260"	"644"	"100"
"26261"	"37"	"60"
"26262"	"566"	"90"
"26263"	"597"	"90"
"26264"	"37"	"60"
"26267"	"44"	"100"
"26268"	"45"	"100"
"26269"	"674"	"90"
"26272"	"37"	"90"
"26273"	"120"	"100"
"26274"	"598"	"60"
"26276"	"283"	"60"
"26278"	"472"	"60"
"26279"	"355"	"100"
"26280"	"401"	"100"
"26281"	"744"	"90"
"26282"	"152"	"60"
"26283"	"181"	"100"
"26284"	"779"	"90"
"26285"	"151"	"60"
"26286"	"37"	"60"
"26287"	"817"	"90"
"26288"	"360"	"100"
"26289"	"915"	"100"
"26290"	"625"	"90"
"26291"	"403"	"90"
"26292"	"625"	"100"
"26293"	"624"	"100"
"26294"	"113"	"90"
"26295"	"723"	"60"
"26296"	"594"	"100"
"26297"	"203"	"60"
"26298"	"30"	"100"
"26299"	"355"	"100"
"26300"	"641"	"100"
"26301"	"125"	"60"
"26302"	"78"	"100"
"26303"	"741"	"100"
"26304"	"394"	"80"
"26306"	"625"	"100"
"26307"	"739"	"100"
"26308"	"37"	"60"
"26309"	"594"	"100"
"26310"	"480"	"100"
"26311"	"37"	"100"
"26312"	"37"	"90"
"26313"	"718"	"100"
"26314"	"152"	"100"
"26315"	"152"	"60"
"26316"	"113"	"100"
