"id"	"propform"	"tildevalue"	"%"	"actantslist"
"26162"	"[$1] ~ $2"	""	"100"	"($1=X,$2=Y)"
"26163"	"[$1] ~ de $2"	""	"100"	"($1=X,$2=Y)"
"26166"	"~"	""	"100"	"()"
"26167"	"$1 ~ $2"	"abîme "	"100"	"($1=X,$2=Y)"
"26168"	"$1 ~ $2 à $3"	"abonne"	"100"	"($1=X,$2=Y,$3=Z)"
"26169"	"~ de $2 qui sert à $1"	""	"100"	"($1=Y,$2=X)"
"26171"	"~ de $1"	""	"100"	"($1=X)"
"26172"	"~ $1"	""	"100"	"($1=X)"
"26173"	"$1 ~ $2"	" absorbe "	"100"	"($1=X,$2=Y)"
"26174"	"$1 ~ de $2"	"abuse"	"100"	"($1=X,$2=Y)"
"26175"	"$1 ~ $2"	" accélère "	"100"	"($1=X,$2=Y)"
"26177"	"$1 ~ $2"	"accepte"	"100"	"($1=X,$2=Y)"
"26179"	"~ de $2 qui implique $1"	""	"100"	"($1=X,$2=Y)"
"26180"	"$1 ~ $2 (jusqu’à $3)"	"accompagne"	"100"	"($1=X,$2=Y,$3=Z)"
"26181"	"$1 ~ $2"	" accomplit "	"100"	"($1=X,$2=Y)"
"26182"	"~ de $1 et $2 au sujet de $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"26183"	"$1 ~ $2 à $3"	" accorde "	"100"	"($1=X,$2=Y,$3=Z)"
"26184"	"$1 ~de $2 avec l’aide de $3"	" accouche "	"100"	"($1=X,$2=Y,$3=Z)"
"26185"	"$1 ~ $2 à $3"	" accroche "	"100"	"($1=X,$2=Y,$3=Z)"
"26186"	"$1 ~ $2 à $3"	" accueille "	"100"	"($1=X,$2=Y,$3=Z)"
"26187"	"$1 ~ $2 dans $3"	" accumule "	"100"	"($1=X,$2=Y,$3=Z)"
"26188"	"$1 ~ $2 de $3"	" accuse "	"100"	"($1=X,$2=Y,$3=Z)"
"26189"	"$1 ~ $2 à $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"26190"	"$1 ~ $2"	" achève "	"100"	"($1=X,$2=Y)"
"26192"	"$1 ~ $2"	" acquiert "	"100"	"($1=X,$2=Y)"
"26193"	"! ~ de $1 par $2"	""	"100"	"($1=X,$2=Y)"
"26194"	"$1, ~ jouant le rôle de $2 dans $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"26195"	"$1 qui est ~"	""	"100"	"($1=X)"
"26196"	"~ de $1"	""	"100"	"($1=X)"
"26197"	"~ pratiqué par $1"	""	"100"	"($1=X)"
"26198"	"~ de $1"	""	"100"	"($1=X)"
"26200"	"$1 ~ $2 à $3"	" adapte "	"100"	"($1=X,$2=Y,$3=Z)"
"26201"	"$1 ~ $2 et $3"	"additionne"	"100"	"($1=X,$2=Y,$3=Z)"
"26202"	"Le locuteur dit : « ~ »"	" Adieu !"	"100"	"()"
"26203"	"! $1 ~ $2 dans $3"	"admet"	"100"	"($1=X,$2=Y,$3=Z)"
"26204"	"$1 ~ $2 à $3"	"administre"	"100"	"($1=X,$2=Y,$3=Z)"
"26206"	"$1, qui est un ~"	""	"100"	"($1=X)"
"26207"	"$1 ~ $2"	""	"100"	"($1=X,$2=Y)"
"26208"	"$1 qui est ~"	""	"100"	"($1=X)"
"26209"	"$1 ~ $2"	"adore"	"100"	"($1=X,$2=Y)"
"26210"	"~ de $1"	""	"100"	"($1=X)"
"26212"	"$1 qui est ~"	""	"100"	"($1=X)"
"26213"	"$1 qui est ~"	""	"100"	"($1=X)"
"26214"	"$1, qui est un ~ de $2 dans $3"	""	"100"	"($1=X,$2=Y,$3=Z)"
"26215"	"~ de $1 envers $2"	""	"100"	"($1=X,$2=Y)"
