"source"	"lf"	"target"	"form"	"separator"	"merged"	"syntacticframe"	"constraint"	"position"
"26162"	"3"	"43890"	""	","	"0"	""	""	"1"
"26162"	"3"	"41336"	""	","	"0"	""	""	"2"
"26162"	"3"	"29809"	""	","	"0"	""	""	"3"
"26163"	"3"	"32392"	""	","	"0"	""	""	"1"
"26163"	"3"	"32518"	""	","	"0"	""	""	"2"
"26164"	"21"	"30463"	""	","	"0"	""	""	"1"
"26164"	"330"	"32674"	""	","	"0"	""	""	"1"
"26164"	"3"	"53933"	""	","	"0"	""	""	"1"
"26166"	"3"	"27709"	""	","	"0"	""	""	"1"
"26167"	"3"	"45000"	""	","	"0"	""	""	"1"
"26168"	"21"	"32227"	""	","	"0"	""	""	"1"
"26168"	"10"	"31405"	""	","	"0"	""	""	"1"
"26168"	"69"	"31397"	""	","	"0"	""	""	"1"
"26168"	"407"	"31398"	""	","	"0"	""	""	"1"
"26168"	"407"	"31402"	""	","	"0"	""	""	"2"
"26168"	"330"	"32226"	""	","	"0"	""	""	"1"
"26169"	"5"	"34100"	""	","	"0"	""	""	"1"
"26170"	"31"	"26169"	""	","	"0"	""	""	"1"
"26170"	"9"	"31431"	""	","	"0"	""	""	"1"
"26170"	"873"	"32538"	""	","	"1"	"N=$2 contre N=$3 avec N=$1"	""	"1"
"26171"	"10"	"31362"	""	","	"0"	""	""	"1"
"26171"	"31"	"31384"	"absent"	","	"0"	""	""	"1"
"26171"	"31"	"31392"	"absente"	","	"0"	""	""	"2"
"26171"	"5"	"40794"	""	","	"0"	""	""	"1"
"26172"	"28"	"31379"	""	","	"0"	""	""	"1"
"26173"	"21"	"31407"	"absorption"	","	"0"	""	""	"1"
"26173"	"109"	"31406"	"absorbant"	","	"0"	""	""	"1"
"26173"	"111"	"31404"	""	","	"0"	""	""	"1"
"26174"	"21"	"31409"	"abus"	","	"0"	""	""	"1"
"26175"	"21"	"32596"	""	","	"0"	""	""	"1"
"26175"	"109"	"31428"	"accélérateur"	","	"0"	""	""	"1"
"26175"	"13"	"29088"	""	","	"0"	""	""	"1"
"26176"	"28"	"32604"	""	","	"0"	""	""	"1"
"26176"	"228"	"32623"	""	","	"0"	"ART ~ sur N=Y"	""	"1"
"26176"	"228"	"32605"	""	","	"1"	"N=Y"	""	"2"
