"id"	"example"	"occurrence"	"position"	"%"
"26162"	"4328"	"66,66;"	"0"	"100"
"26162"	"337"	"161,161;"	"1"	"100"
"26162"	"331"	"37,37;"	"2"	"100"
"26162"	"3964"	"26,26;"	"3"	"100"
"26162"	"3348"	"53,53;"	"4"	"100"
"26162"	"3948"	"46,46;"	"5"	"100"
"26162"	"83"	"209,209;"	"6"	"100"
"26162"	"229"	"99,99;"	"7"	"100"
"26162"	"11955"	"68,68;"	"8"	"100"
"26163"	"4628"	"62,69;"	"0"	"100"
"26163"	"8955"	"82,89;"	"1"	"100"
"26164"	"1323"	"48,56;"	"0"	"100"
"26166"	"10465"	"203,207;"	"0"	"100"
"26167"	"11675"	"150,154;"	"0"	"100"
"26168"	"24199"	"87,94;"	"0"	"100"
"26169"	"7458"	"214,218;"	"0"	"100"
"26170"	"14527"	"33,40;"	"0"	"100"
"26171"	"4301"	"434,440;"	"0"	"100"
"26172"	"2412"	"44,53;"	"0"	"100"
"26173"	"18409"	"500,506;"	"0"	"100"
"26174"	"17830"	"304,309;"	"0"	"100"
"26175"	"8923"	"117,125;"	"0"	"100"
"26176"	"17033"	"90,96;"	"0"	"100"
"26177"	"5893"	"66,73;"	"0"	"100"
"26177"	"8999"	"157,163;169,175;482,484;490,496;"	"1"	"100"
"26178"	"11538"	"359,363;"	"0"	"100"
"26179"	"642"	"386,393;"	"0"	"100"
"26179"	"2723"	"71,78;"	"1"	"100"
"26180"	"171"	"133,143;"	"0"	"100"
"26181"	"10433"	"76,84;"	"0"	"100"
"26181"	"2031"	"190,198;"	"1"	"100"
"26182"	"10489"	"188,193;"	"0"	"100"
"26183"	"19514"	"21,33;"	"0"	"100"
"26184"	"1296"	"52,60;"	"0"	"100"
"26185"	"1363"	"174,181;"	"0"	"100"
"26186"	"1268"	"255,264;"	"0"	"100"
"26187"	"19235"	"307,320;"	"0"	"100"
"26188"	"13458"	"102,109;"	"0"	"100"
"26189"	"6980"	"92,98;220,227;"	"0"	"100"
"26190"	"8400"	"33,40;"	"0"	"100"
"26192"	"11416"	"164,169;171,176;"	"0"	"100"
"26193"	"3145"	"318,321;"	"0"	"100"
"26194"	"1561"	"203,208;"	"0"	"100"
"26195"	"6161"	"209,214;"	"0"	"100"
"26196"	"2759"	"124,129;"	"0"	"100"
"26197"	"2277"	"76,83;"	"0"	"100"
"26198"	"9443"	"24,32;"	"0"	"100"
"26200"	"4510"	"190,196;"	"0"	"100"
"26201"	"7981"	"28,38;"	"0"	"100"
"26202"	"22233"	"77,83;"	"0"	"100"
"26203"	"29017"	"238,250;"	"0"	"100"
"26204"	"21941"	"35,46;"	"0"	"100"
"26205"	"3290"	"39,46;"	"0"	"100"
"26206"	"1320"	"408,418;"	"0"	"100"
"26207"	"6429"	"71,77;"	"0"	"100"
"26208"	"13960"	"123,130;"	"0"	"100"
"26209"	"22081"	"216,222;"	"0"	"100"
"26210"	"13034"	"40,46;"	"0"	"100"
"26211"	"19638"	"23,30;"	"0"	"100"
"26212"	"23045"	"61,67;"	"0"	"100"
"26213"	"12123"	"65,71;"	"0"	"100"
"26214"	"3660"	"114,124;"	"0"	"100"
"26215"	"23061"	"159,167;"	"0"	"100"
"26216"	"4613"	"161,168;"	"0"	"100"
"26216"	"3283"	"137,144;"	"1"	"100"
"26216"	"2300"	"51,58;"	"2"	"100"
"26217"	"23067"	"52,52;63,70;"	"0"	"100"
"26218"	"21707"	"239,245;"	"0"	"100"
"26219"	"1686"	"115,123;"	"0"	"100"
"26220"	"13981"	"67,73;"	"0"	"100"
"26221"	"6403"	"35,42;"	"0"	"100"
"26221"	"7097"	"27,34;"	"1"	"100"
"26221"	"7098"	"34,45;"	"2"	"100"
"26222"	"8305"	"236,244;"	"0"	"100"
"26223"	"22084"	"91,96;"	"0"	"100"
"26224"	"17094"	"172,178;"	"0"	"100"
"26225"	"3587"	"144,150;"	"0"	"100"
"26226"	"2517"	"51,59;"	"0"	"100"
"26227"	"22085"	"36,40;"	"0"	"100"
"26228"	"595"	"167,169;"	"0"	"100"
"26229"	"12051"	"29,31;"	"0"	"100"
"26230"	"15959"	"245,249;"	"0"	"100"
"26231"	"9873"	"91,98;"	"0"	"100"
"26232"	"1714"	"429,434;"	"0"	"100"
"26232"	"9228"	"173,178;"	"1"	"100"
"26233"	"9268"	"274,280;"	"0"	"100"
"26234"	"2276"	"58,66;"	"0"	"100"
"26235"	"15711"	"151,157;219,225;"	"0"	"100"
"26236"	"5361"	"118,125;"	"0"	"100"
"26237"	"9458"	"56,63;"	"0"	"100"
"26238"	"3166"	"239,249;"	"0"	"100"
"26239"	"14713"	"156,157;"	"0"	"100"
"26240"	"7501"	"80,83;"	"0"	"100"
"26241"	"1477"	"88,91;"	"0"	"100"
"26242"	"4343"	"194,198;"	"0"	"100"
"26243"	"23351"	"168,175;"	"0"	"100"
"26244"	"23357"	"66,69;187,190;"	"0"	"100"
"26245"	"4280"	"83,86;"	"0"	"100"
"26246"	"2343"	"138,145;"	"0"	"100"
"26246"	"4241"	"65,72;"	"1"	"100"
"26246"	"6807"	"122,129;"	"2"	"100"
"26246"	"21666"	"162,169;"	"3"	"100"
"26246"	"5039"	"312,319;"	"4"	"100"
"26246"	"21268"	"379,386;"	"5"	"100"
"26246"	"18110"	"40,47;"	"6"	"100"
"26246"	"8466"	"418,425;"	"7"	"100"
"26246"	"2527"	"134,141;"	"8"	"100"
"26246"	"8466"	"418,425;"	"9"	"100"
"26247"	"22086"	"25,32;"	"0"	"100"
"26248"	"11774"	"40,45;"	"0"	"100"
"26249"	"43"	"132,136;"	"0"	"100"
"26251"	"20678"	"93,95;"	"0"	"100"
"26251"	"2565"	"19,21;"	"1"	"100"
"26252"	"24643"	"73,76;"	"0"	"100"
"26253"	"3168"	"129,135;"	"0"	"100"
"26254"	"472"	"106,111;"	"0"	"100"
"26255"	"11685"	"86,92;"	"0"	"100"
"26256"	"8284"	"83,88;"	"0"	"100"
"26257"	"345"	"249,253;"	"0"	"100"
"26258"	"4732"	"84,89;119,124;"	"0"	"100"
"26258"	"4733"	"30,35;169,174;"	"1"	"100"
"26258"	"4734"	"86,92;"	"2"	"100"
"26258"	"4735"	"196,201;228,233;"	"3"	"100"
"26258"	"4736"	"63,68;"	"4"	"100"
"26258"	"4737"	"18,23;47,52;109,115;"	"5"	"100"
"26258"	"4738"	"146,151;"	"6"	"100"
"26258"	"4740"	"46,51;"	"7"	"100"
"26258"	"4741"	"56,61;308,313;352,357;"	"8"	"100"
"26258"	"4743"	"19,24;"	"9"	"100"
"26259"	"6968"	"180,189;"	"0"	"100"
"26259"	"6975"	"330,339;"	"1"	"100"
"26259"	"6976"	"18,27;"	"2"	"100"
"26259"	"6981"	"70,79;"	"3"	"100"
"26259"	"6983"	"78,87;"	"4"	"100"
"26259"	"6986"	"160,170;"	"5"	"100"
"26259"	"7012"	"149,158;"	"6"	"100"
"26259"	"7013"	"98,107;"	"7"	"100"
"26259"	"7015"	"96,105;"	"8"	"100"
"26260"	"3767"	"204,209;"	"0"	"100"
"26261"	"3393"	"214,221;"	"0"	"100"
"26262"	"2839"	"134,139;298,303;393,398;"	"0"	"100"
"26263"	"5305"	"29,35;"	"0"	"100"
"26263"	"19975"	"137,144;"	"1"	"100"
"26263"	"19974"	"20,27;"	"2"	"100"
"26263"	"9677"	"244,251;"	"3"	"100"
"26263"	"16465"	"113,120;"	"4"	"100"
"26263"	"3228"	"52,58;"	"5"	"100"
"26264"	"23324"	"51,62;"	"0"	"100"
"26267"	"16483"	"249,253;"	"0"	"100"
"26267"	"16484"	"279,283;"	"1"	"100"
"26268"	"879"	"30,31;"	"0"	"100"
"26268"	"1162"	"32,40;175,179;"	"1"	"100"
"26268"	"4615"	"50,54;"	"2"	"100"
"26268"	"4934"	"174,178;"	"3"	"100"
"26268"	"1755"	"75,79;"	"4"	"100"
"26268"	"12211"	"46,50;"	"5"	"100"
"26268"	"15704"	"174,181;"	"6"	"100"
"26268"	"4175"	"92,95;"	"7"	"100"
"26268"	"3585"	"20,23;"	"8"	"100"
"26268"	"16236"	"59,68;"	"9"	"100"
"26268"	"10026"	"19,22;"	"10"	"100"
"26268"	"10668"	"24,28;"	"11"	"100"
"26269"	"12425"	"93,100;"	"0"	"100"
"26272"	"3838"	"110,116;"	"0"	"100"
"26273"	"3739"	"51,60;"	"0"	"100"
"26274"	"8570"	"120,127;"	"0"	"100"
"26275"	"3327"	"138,142;"	"0"	"100"
"26275"	"1498"	"25,29;"	"1"	"100"
"26276"	"7075"	"304,311;"	"0"	"100"
"26277"	"23466"	"48,59;"	"0"	"100"
"26278"	"2514"	"53,61;"	"0"	"100"
"26279"	"371"	"161,167;"	"0"	"100"
"26280"	"4033"	"35,41;"	"0"	"100"
"26281"	"272"	"113,120;"	"0"	"100"
"26282"	"2471"	"112,118;"	"0"	"100"
"26283"	"4592"	"70,77;"	"0"	"100"
"26284"	"8638"	"93,102;"	"0"	"100"
"26285"	"15262"	"55,57;"	"0"	"100"
"26286"	"9060"	"54,56;98,105;"	"0"	"100"
"26287"	"26010"	"18,19;26,30;"	"0"	"100"
"26288"	"13104"	"348,352;"	"0"	"100"
"26288"	"8713"	"123,126;"	"1"	"100"
"26289"	"15706"	"29,38;"	"0"	"100"
"26290"	"16513"	"55,62;"	"0"	"100"
"26291"	"32"	"77,79;"	"0"	"100"
"26291"	"33"	"56,59;"	"1"	"100"
"26291"	"34"	"145,148;"	"2"	"100"
"26291"	"35"	"110,112;"	"3"	"100"
"26291"	"36"	"143,145;"	"4"	"100"
"26291"	"38"	"88,91;"	"5"	"100"
"26291"	"39"	"79,82;"	"6"	"100"
"26291"	"40"	"76,79;"	"7"	"100"
"26291"	"41"	"64,67;"	"8"	"100"
"26292"	"10596"	"94,98;"	"0"	"100"
"26293"	"460"	"26,33;"	"0"	"100"
"26294"	"8912"	"78,84;"	"0"	"100"
"26294"	"2851"	"166,172;"	"1"	"100"
"26294"	"4171"	"63,69;"	"2"	"100"
"26294"	"8682"	"269,276;"	"3"	"100"
"26294"	"10974"	"43,50;"	"4"	"100"
"26294"	"21092"	"76,82;"	"5"	"100"
"26294"	"100"	"180,187;"	"6"	"100"
"26295"	"16844"	"149,155;"	"0"	"100"
"26296"	"1256"	"125,126;"	"0"	"100"
"26297"	"9705"	"37,44;"	"0"	"100"
"26297"	"14143"	"195,202;"	"1"	"100"
"26297"	"14144"	"20,28;"	"2"	"100"
"26297"	"14150"	"18,25;"	"3"	"100"
"26297"	"14151"	"44,52;"	"4"	"100"
"26297"	"14154"	"450,457;"	"5"	"100"
"26297"	"14147"	"221,228;"	"6"	"100"
"26297"	"14152"	"55,62;"	"7"	"100"
"26297"	"14153"	"371,378;"	"8"	"100"
"26298"	"24718"	"137,153;"	"0"	"100"
"26299"	"24719"	"78,83;"	"0"	"100"
"26300"	"28247"	"176,183;"	"0"	"100"
"26300"	"28249"	"168,175;"	"1"	"100"
"26300"	"28250"	"255,262;"	"2"	"100"
"26300"	"28256"	"264,271;"	"3"	"100"
"26300"	"28252"	"160,167;"	"4"	"100"
"26300"	"28257"	"118,125;"	"5"	"100"
"26301"	"25127"	"88,95;117,122;"	"0"	"100"
"26301"	"59"	"226,231;"	"1"	"100"
